inputs,response
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 예 교수님 과제는 다섯 개군요.(네?)
아뇨 불만 없어요 다 해올게요 (네)
심지어 창작 과제가 두 개라고요? (아)
잠을 줄여서라도 해야죠 암요 (암요)
어 궁금하진 않지만
질문은 없냐 시기에 여쭤보자면
학생들에게 다
이런 과제를 내주시나요

이 노래는 교수님이 쓰라 해서
쓰는 노래 솔직히 대충 만들었네
다음 주엔 인간적인 양의 과제를
받았음 해 그랬음 해 어

교수님 죄송합니다
이런 가사를 썼기에
교수님 죄송합니다
기타야 사과드려

과제를 받았지만 또 다른 할 일이
산처럼 쌓여 있었기에
미루고 미루다
하루 전 날에 애써 만든

이 노래는 교수님이 쓰라 해서
쓰는 노래 솔직히 대충 만들었네
다음 주엔 인간적인 양의 과제를
받았음 해 그랬음 해 어

교수님 죄송합니다
이런 가사를 썼기에
교수님 죄송합니다
진짜 진짜

아 진짜 죄송합니다
(교수님 죄송합니다 이런 가사를 썼기에)
아 진짜 죄송합니다
(교수님 죄송합니다 이런 가사를 썼기에)
죄송합니다

그렇게 잠도 안 자고
밤 새 가며 다 하고
박카스 빈 병을 늘어나기만 하고
원래 피곤한 얼굴에 더해진 다크서클은
고장이 났나
이른 아침 일교시 기타를 메고 등교해
강의실 문을 똑똑똑 안녕하세요
과제 몇 개 해왔냐는 교수님의 질문에
다 해왔어요
(그걸 진짜 다 해왔어요?)
 

상황 : 고등학생이 시험을 보고 선생님께 부르는 상황

출력 가사: ","예 선생님 범위는 다섯 과군요.(네?)
아뇨 불만 없어요 공부할게요(네)
심지어 서술형 문제도 있다구요?(어)
어 잠을 줄여서 공부해야죠 암요(암요)
어 궁금하진 않지만
질문은 없냐 시기에 여쭤보자면
학생들에게 나
이런 시련을 주시나요

이 노래는 시험 망치고 나서
부른 노래 솔직히 대충 풀었네
다음 번엔 인간적인 양의 범위를
받았음 해 그랬음 해 어

선생님 죄송합니다
이런 점수를 받았기에
선생님 죄송합니다
기타야 사과드려

범위를 받았지만 또 다른 과목의
공부도 쌓여 있었기에
미루고 미루다
하루 전 날에 벼락치기

이 노래는 시험 망치고 나서
부른 노래 솔직히 너무 어려웠네
다음 번엔 인간적인 양의 과제를
받았음 해 그랬음 해

선생님 죄송합니다
이런 점수를 받았기에
선생님 죄송합니다
진짜 진짜

아 진짜 죄송합니다
(선생님 죄송합니다 이런 점수를 받았기에)
아 진짜 죄송합니다
(선생님 죄송합니다 이런 점수를 받았기에)
죄송합니다

그렇게 잠도 안자고
밤새며 공부하고
핫식스 빈 캔은 늘어나기만 하고
원래 피곤한 얼굴에 더해진 다크서클은
고장이 났나
이른 아침 일교시 가방 매고 등교해
우리반 문을 똑똑똑 애들아 안녕
공부는 해왔냐는 선생님의 질문에
못하겠어요
(그걸 대체 왜 못해?)
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 살다보면 그런저지
우후 말은 되지
모두들의 잘못인가
난 모두를 알고 있지 닥쳐
노래하면 잊혀지나
사랑하면 사랑받나
돈많으면 성공하나
차있으면 빨리가지 닥쳐
닥쳐 닥쳐 닥쳐 닥치고 내말들어
우리는 달려야해
바보놈이 될순 없어 말달리자
말달리자 말달리자
말달리자 말달리자
이러다가 늙는 거지
그땔위해 일해야되
모든것은 막혀있어
우리에겐 힘이없지 닥쳐
사랑은 어려운거야
복잡하고 예쁜거지
잊으려면 잊혀질까
상처받기 쉬운거야 닥쳐
닥쳐 닥쳐 닥쳐
닥치고 가만히 있어
우리는 달려야해
거짓에 싸워야해 말달리자
말달리자 말달리자
말달리자 말달리자
워 이런띵굴띵굴한 지구상에서
우리가 할 수 있는 것은
오직 달리는 것 뿐이다
무얼 또 바라냐
어이 이봐 거기 숨어있는 친구
이리나오라구 우리는
 

상황 : 코인투자를 실패해서 화가난 상황

출력 가사: ","유튜브에서 영상 봤지
유튜브 추천 코인
사자마자 떡락하네
적당한 눌림이래 닥쳐
친구한테 전화왔네
나한테만 알려준대
100% 확실하대
사자마자 떡락하네 닥쳐
요놈 친구 새끼 적당한 눌림이래
자기 믿고 존버하래
돈 있으면 추가매수 매수하자
존버하자 매수하자
추가매수 물을타자
매수하다 더 내리면
그땔위해 일해야지
친구놈은 연락두철
나는이제 어떡하지 닥쳐
투자는 어려운거야
뉴스찾고 차트보고
주위소스 믿지말고
내가직접 찾아보자 열공
차트 뉴스 열공
닥치고 모의 투자
분할매수 넓게 해서
세력과 싸워야해 공부하자
유튜브추천 친구추천
하지말고 손절하자
내가 매수하면 떡락하고
내가 매도하면 떡상하는
내방에 세력이 CCTV 달았나
드럽고 치사해서 안한다 에이씨
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 나는 문어
꿈을 꾸는 문어
꿈속에서는
무엇이든지 될 수 있어
나는 문어
잠을 자는 문어
잠에 드는 순간
여행이 시작되는 거야
높은 산에 올라가면
나는 초록색 문어
장미꽃 밭 숨어들면
나는 빨간색 문어
횡단보도 건너가면
나는 줄무늬 문어
밤하늘을 날아가면 나는
오색 찬란한
문어가 되는 거야 아아아
야 아아아 아아아
깊은 바닷속은 너무 외로워
춥고 어둡고 차갑고
때로는 무섭기도 해 에에에
야 아아아 아아
그래서 나는 매일 꿈을 꿔
이곳은
참 우울해
 

상황 : 대상을 돼지로 바꿔서 유쾌하게 부르는 상황

출력 가사: ","나는 돼지
꿈을 꾸는 돼지
꿈속에서는 무엇이든지
먹을 수 있어
나는 돼지
잘 먹인 하남 돼지
배가 고픈 순간
여행이 시작되는 거야
 
친구들이 고기 먹자하면
무한 리필 찾아
검은 수트 입고 나면
나는 아무도 안 건드려
살 빼려고 운동하면
나는 그만큼 먹어
 
헬스장에 등록하면 나는
오색찬란한 마동석 되는 거야 아아아
야 아아아 아아아
유산소는 너무 괴로워
내가 꿈에 나오면
복권을 질러야 해 에에에
야 아아아 아아
날씬해지는 꿈을 꿔
깨면은
참 배고파
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 우리 다시 만날래
예쁘게 빛나던
모든 추억들이 너무 그리워

너의 품에 안길래
이 밤이 새도록
네게 말할 거야 너를 좋아한다고
 

상황 : 선생님이 학생들에게 부르는 상황

출력 가사: ","너희 다시 숙제내
예쁘게 글씨 써
모든 글자들이 너무 안보여

너희 점수 매길래
이 밤이 새도록
글씨 엉망이면 숙제 다시 낼 거야
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까 더 소중하니까
오직 너 아니면 안 된다고 외치고 싶어
그저 내 곁에만 있어줘 떠나지 말아줘
 

상황 : 선생님이 학생들에게 부르는 상황

출력 가사: ","방과후에 집에 가서 공부해 줄래
너넨 내가 지도하니까 내가 담임이니까
밖에 싸다니면 안 된다고 외치고 싶어
그저 방 안에만 있어줘 나가지 말아줘
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 달이 차고 내 마음도 차고
이대로 담아 두기엔
너무 안타까워
너를 향해 가는데
달은 내게 오라 손짓하고
귓속에 얘길 하네
지금 이 순간이
바로 그 순간이야
제일 마음에 드는 옷을 입고
노란 꽃 한 송이를 손에 들고
널 바라보다 그만
나도 모르게 웃어버렸네
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데
사랑한다는
그 흔한 말이 아니야
그보단 더욱더 로맨틱하고
달콤한 말을 준비했단 말야
 

상황 : 학생들에게 삼국통일을 주제로 유쾌하게 개사해서 부르는 상황

출력 가사: ","백제 차고 고구려도 차고
삼국을 통일 하기엔
당이 너무 깝쳐
통일을 향해 가는데
당은 내게 오라 손짓하고
칼들고 얘길 하네
지금 이 순간이
바로 그 매소성이야
제일 마음에 드는 갑옷 입고
피 묻은 칼자루를 손에 들고
당 바라보다 그만
나도 모르게 이겨버렸네
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백명의
병사들이 남았는데
통일한다는
그 흔한 말이 아니야
그보단 더욱 더 로맨틱하고
달콤한 세계정복 준비했단 말야
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 흐르는 물결이 내 발목에 감겨 나가면
깊은 곳에 숨겨둔 아픈 기억 모두 살아나고
어디에 기대 살아갈까 나를 스쳐가는
그 모든 것들이 상처인데

그댈 그린 밤들이
내게 욕심이란 걸 맘 아프게 알아
나를 택한 운명이 행여 그댈 맴돌아
붙잡지 못하게 이제 그대 곁에서 떠나가

내뱉는 숨마다 가시 돋친 고통이어서
깊은 곳에 숨겨둔 사랑 또한 그저 지워내고
어디에 기대 살아갈까 나를 스쳐가는
그 모든 것들이 상처인데

그댈 그린 밤들이
내게 사치라는 걸 맘 아프게 알아
나를 택한 운명이 행여 그댈 맴돌아
붙잡지 못하게 이제 그대 곁에서 떠나가

언젠가 그대 곁에 다시 돌아갈 수 있다면
그때가 언제라도 나를 잊지 않았다면

그댈 그린 날들이
내게 마지막 남은 기쁨이었단 걸
내가 택한 운명이 다른 무엇이 아닌
그대뿐이란 걸 이제 그대 곁에서 영원히
 

상황 : 노래방 알바생이 알바 끝나고 부르는 상황

출력 가사: ","코인 노래방에 최저 임금 받고 일하며
주말도 반납하고 서럽게도 혼자 일을 하네
일하는 것도 서러운데 염장질을 하는
그 모든 커플이 상처인데

내가 치운 방들이
다시 더러워 질 걸 맘 아프게 알아
하비 노래방에서 토를 하고 달아나
붙잡지 못하게 이제 너희는 페북에 뜰거다

치우는 시간에 바닥에 침이 고통이어서 
빤히 보이는 곳에 휴지통이 너희는 안 보이니
일하는 것도 서러운데 날 골탕 먹이는
그 모든 커플이 상처인데

내가 치운 방들이
다시 더러워질걸 맘 아프게 알아
하비 노래방에서 토를 하고 달아나
붙잡지 못하게 이제 너희는 페북에 뜰거다

언젠가 너희들이 일하는 곳을 알게 되면
그 곳이 어디라도 나를 잊지 않았다면

그날 집에 갈 생각
하지 않는 게 좋아 다 뒤질 줄 알아
진상 손님이란 게 정말 어떤 것인지
내가 보여줄게 영상 돌고 돌거야 영원히
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에 유일한 휴식처

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날, 모든 순간 함께해

햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다

불안했던 나의 고된 삶에
한줄기 빛처럼 다가와 날 웃게 해준 너

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날, 모든 순간 함께해

알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해

갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날, 모든 순간 함께해
 

상황 : 남자 두명을 놀리는 상황

출력 가사: ","남자 끼리 한강 올 수 있을까
생각만 해도 눈물이나
주말인데 남자끼리 한강
왔다면 그건 아마 게이일거야
어딜 보니 너희 얘기 맞아
남자끼리 한강 온 사람 너희 뿐이잖아

나는 숨어있어 찾지마
너희 집에 갈 때까지 난 안나간다
혹시 여자친구가 있다면
아니다, 다시 보니 넌 없겠다

남일 같지 않아서 슬펐지
너를 보는 내 눈빛은
보다 보니 남일 같지 않아
놀려서 미안했다 친구들아

돈이라도 많이 벌어놔서
그나마 그게 다행이야 결혼은 하겠지

나는 내 의지로 혼자야
근데 너희는 아니잖아 참 안됐다
혹시 여자친구가 있다면
아니다, 다시 봐도 넌 없겠다

공이라도 챙겨와서
운동하는 척이라도 했었더라면
덜 불쌍할텐데

다음엔 여자친구와 오기를
칙칙하게 남자들끼리 오지말고
지금 당장 힘들어 보여도
언젠가, 좋은 사람 생길거야
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 나빠요 참 그대란 사람
허락도 없이 왜 내 맘 가져요
그대 때문에 난 힘겹게 살고만 있는데
그댄 모르잖아요

알아요 나는 아니란 걸
눈길 줄만큼 보잘 것 없단 걸
다만 가끔씩 그저 그 미소 여기 내게도
나눠줄 순 없나요 비록 사랑은 아니라도

언젠가 한번쯤은 돌아봐주겠죠
한없이 뒤에서 기다리며
오늘도 차마 못한 가슴 속 한마디
그댈 사랑합니다

어제도 책상에 엎드려
그댈 그리다 잠들었나 봐요
눈을 떠보니 눈물에 녹아 흩어져 있던
시린 그대 이름과 헛된 바램뿐인 낙서만

언젠가 한번쯤은 돌아봐주겠죠
한없이 뒤에서 기다리면
오늘도 차마 못한 가슴 속 한마디
그댈 사랑합니다

이젠 너무나도 내겐 익숙한
그대 뒷모습을 바라보며
흐르는 눈물처럼 소리 없는 그 말
그대 사랑합니다
 

상황 : 남자친구가 있는 여자에게 관심을 표현하는 상황

출력 가사: ","나빠요 참 하얀 옷 여자분
허락도 없이 왜 내 맘 가져요
그대 때문에 난 힘겹게 살고만 있는데
그댄 모르잖아요

맞아요 그대 보고 한 말
누굴 닮아서 그렇게 이뻐요
남친 없다면 그저 그 미소 여기 내게도
나눠줄 순 없나요 비록 나이는 좀 있지만

열심히 한 푼 두 푼 적금도 들었죠
강남권 아파트는 아니지만
서울권 아파트는 살 정도 능력은
갖춰 두었답니다

그 분이 남친인가 봐요
그대가 훨씬 아까워 보여요
남자친구가 맞다면 두 발을 머리 위로
살짝 올려 주세요 다행히 남친 아니네요

나이 더 먹기 전에 만냐야 될 텐데
어디 좋은 여자 없을까요
중산층 외동딸이면 좋을 것 같아요
나는 쥐뿔 없어도

얼굴도 예쁜데 성격도 착한
그런 좋은 여자 어디없나
찾았다 바로 여기 눈앞에 있네요
그대 번호 줄래요
"
"조건에 맞추어서 입력 가사를 출력 가사로 재작성하라.
단, 상위 > 중위 > 하위 순으로 중요도가 존재한다.

[상위 조건]
-- 입력되는 상황에 어울리도록 작성하라
-- 입력 가사와 출력 가사의 리듬 및 음절 수를 일치하라

[중위 조건]
-- 입력 가사의 리듬과 Rhyme을 유지하라
-- 입력 가사의 단어의 음절과 강세, 발음을 고려하라
-- 입력 가사와 동일한 단어를 사용할 수는 있지만 남발해서는 안된다.

[하위 조건]
-- 발음하기 쉽고, 노래부르기에 적합하도록 작성하라


입력 가사: 오래전에 함께 듣던 노래가
발걸음을 다시 멈춰 서게 해
이 거리에서 너를 느낄 수 있어
널 이곳에서 꼭 다시 만날 것 같아

너일까 봐 한 번 더 바라보고
너일까 봐 자꾸 돌아보게 돼
어디선가 같은 노래를 듣고
날 생각하며 너 역시 멈춰있을까

오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로

내 사랑이 그대로인 것처럼
발걸음이 여길 찾는 것처럼
꼭 만날 거야 지금 이 노래처럼
날 사랑하는 네 맘도 같을 테니까

오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로

운명처럼 아니면 우연처럼
우리가 다시 예전처럼 만날 수 있다면
너에게 나 해주고 싶은 말이 하나 있어
널 다시는 놓치지 않을게

오래전에 함께 듣던 노래가
거리에서 내게 우연히 들려온 것처럼
살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로
 

상황 : 향수 광고를 받아 노래를 부르는 상황

출력 가사: ","여자친구 안 생기는 이유
네 몸에선 좋은 향기가 안 나
탐니크에서 새로 나온 향수가
너 여자친구 생기게 도와줄 거야

이 영상을 광고주가 본다면
미쳤냐고 환불 요청할 텐데
뭐 상관 없어 이미 받았으니까
광고료 이미 계좌로 받았으니까

은은한게 향기는 참 좋구나
이거 바르고 외출하면 여친 생기겠다
안 생기면 그건 향수 탓할 문제가 아나
네 얼굴이 안 생길상이야

로션처럼 그냥 발라주면 돼
고체라서 휴대하기도 편해
알코올 향이 나지 않아서 좋아
상큼하고 은은해서 모두 좋다 해

오래전에 발라뒀던 향수가
아직까지 향기가 남아 향이 지속되네
여자들이 어디에서 산 거냐고 묻는다
이 향수는 탐니크 거예요

광고라서 칭찬하는 건 아냐
아닌 건 아니라 할 텐데 향은 정말 좋아
지속력도 이 정도면 정말 나쁘지 않아
선물로도 안성맞춤이야

내 돈 주고 사기는 그렇지만
누가 선물로 사준다면 넙죽 받을 텐데
돈 준다고 아무 상품이나 광고 안 한다
이 향수는 나쁘지 않단다

살아가다 한 번쯤 우연히 만날 것 같아
사랑했던 그 모습 그대로
"
